Android,Android App,Apple,Google,Nothing,Other Apple product or service,Other Google product or service,iPad,iPad or iPhone App,iPhone,I can't tell,Negative emotion,No emotion toward brand or product,Positive emotion,tweet_text_cleaned
0,0,0,0,0,0,0,0,0,1,0,1,0,0,wesley83 I have a 3G iPhone After 3 hrs tweeting at RISE_Austin it was dead  I need to upgrade Plugin stations at SXSW
0,0,0,0,0,0,0,0,1,0,0,0,0,1,jessedee Know about fludapp  Awesome iPadiPhone app that youll likely appreciate for its design Also theyre giving free Ts at SXSW
0,0,0,0,0,0,0,1,0,0,0,0,0,1,swonderlin Can not wait for iPad 2 also They should sale them down at SXSW
0,0,0,0,0,0,0,0,1,0,0,1,0,0,sxsw I hope this years festival isnt as crashy as this years iPhone app sxsw
0,0,0,1,0,0,0,0,0,0,0,0,0,1,sxtxstate great stuff on Fri SXSW Marissa Mayer Google Tim OReilly tech booksconferences amp Matt Mullenweg Wordpress
0,0,0,0,1,0,0,0,0,0,0,0,1,0,teachntech00 New iPad Apps For SpeechTherapy And Communication Are Showcased At The SXSW Conference httphtly49n4M iear edchat asd
1,0,0,0,0,0,0,0,0,0,0,0,0,1,SXSW is just starting CTIA is around the corner and googleio is only a hop skip and a jump from there good time to be an android fan
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Beautifully smart and simple idea RT madebymany thenextweb wrote about our hollergram iPad app for sxsw httpbitlyieaVOB
0,0,1,0,0,0,0,0,0,0,0,0,0,1,Counting down the days to sxsw plus strong Canadian dollar means stock up on Apple gear
1,0,0,0,0,0,0,0,0,0,0,0,0,1,Excited to meet the samsungmobileus at sxsw so I can show them my Sprint Galaxy S still running Android 21   fail
0,1,0,0,0,0,0,0,0,0,0,0,0,1,Find amp Start Impromptu Parties at SXSW With HurricaneParty httpbitlygVLrIn I cant wait til the Android app comes out
0,1,0,0,0,0,0,0,0,0,0,0,0,1,Foursquare ups the game just in time for SXSW httpjmpgrN7pK  Still prefer Gowalla by far best looking Android app to date
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Gotta love this SXSW Google Calendar featuring top parties show cases to check out  RT hamsandwich via ischafer gthttpbitlyaXZwxB
